0,0.76
0,0.76
0,0.7599
0,0.7598
0,0.7597
0,0.7596
0,0.7594
0,0.7591
0,0.7588
0,0.7585
0,0.7582
0,0.7578
0,0.7574
0,0.7569
0,0.7564
0,0.756
0,0.7554
0,0.7549
0,0.7543
0,0.7536
0,0.7532
0,0.7526
0,0.752
0,0.7514
0,0.7508
0,0.7502
0,0.7498
0,0.749
0,0.7487
0,0.7482
0,0.7477
0,0.7473
0,0.7469
0,0.7466
0,0.7464
0,0.7462
0,0.7461
0,0.746
0,0.7474
0,0.7519
0,0.7616
0,0.7661
0,0.7695
0,0.7771
0,0.8304
0,0.8448
0,0.8597
0,0.8749
0,0.8905
0,0.9066
1,0.9175
1,0.9342
1,0.9663
1,1.0234
1,1.1003
1,1.2245
1,1.2946
1,1.409
1,1.5344
1,1.6706
1,1.8178
1,2.0311
1,2.2038
1,2.3873
1,2.5814
1,2.7167
1,2.9285
1,3.1473
1,3.3674
1,3.5143
1,3.7349
1,3.9598
1,4.1876
1,4.4193
1,4.6521
1,4.8103
1,5.0434
1,5.2674
1,5.4171
1,5.6395
1,5.8643
1,6.1043
1,6.2688
1,6.5128
1,6.7605
1,6.9267
1,7.1735
1,7.4161
1,7.576
1,7.8148
1,8.056
1,8.2985
1,8.4681
